zip_code,foreclosure_notices_mean,foreclosure_notices_std,foreclosure_notices_max,foreclosure_notices_trend,ev_registrations_mean,ev_registrations_std,ev_registrations_max,ev_registrations_trend,sewer_overflow_incidents_mean,sewer_overflow_incidents_std,sewer_overflow_incidents_max,sewer_overflow_incidents_trend,n_quarters,dbscan_cluster
19964,0.3333333333333333,0.4923659639173309,1,-0.013986013986013986,0.16666666666666666,0.5773502691896258,2,-0.03496503496503496,0.0,0.0,0,0.0,12,0
19973,0.0,0.0,0,0.0,23.833333333333332,9.350093177302696,37,2.1468531468531467,0.0,0.0,0,0.0,12,0
20230,0.08333333333333333,0.2886751345948129,1,-0.024475524475524472,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12,0
20236,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12,0
20473,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12,0
20601,263.25,40.10695926916151,323,9.444055944055943,870.4166666666666,360.54616608527107,1385,99.19930069930071,0.5833333333333334,1.2401124093721454,4,-0.010489510489510481,12,0
20602,198.25,32.82771833236497,266,7.262237762237762,744.0,230.37518805793144,1096,63.69230769230769,0.16666666666666666,0.5773502691896258,2,-0.020979020979020976,12,0
20603,219.91666666666666,35.37451145395595,279,8.1993006993007,1468.0833333333333,478.54105140393955,2140,132.06643356643357,0.08333333333333333,0.28867513459481287,1,0.03146853146853147,12,0
20604,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12,0
20606,1.6666666666666667,1.3706888336846839,4,-0.18881118881118883,9.583333333333334,1.781640374554423,12,-0.22727272727272727,0.0,0.0,0,0.0,12,0
20607,122.41666666666667,18.391986067718506,149,4.4230769230769225,871.6666666666666,256.1176339579968,1223,70.68531468531468,0.6666666666666666,0.7784989441615229,2,-0.14685314685314685,12,0
20608,5.833333333333333,2.6227443411030134,12,0.5874125874125874,14.583333333333334,11.540114489217272,29,3.0244755244755246,0.0,0.0,0,0.0,12,0
20609,4.333333333333333,2.7413776673693677,8,0.6223776223776224,16.75,6.593729803932879,24,1.7377622377622377,0.0,0.0,0,0.0,12,0
20611,4.0,2.215646837627989,7,0.2867132867132867,23.5,9.010095348098053,36,2.4195804195804196,0.08333333333333333,0.28867513459481287,1,0.038461538461538464,12,0
20612,1.0833333333333333,1.5050420310248864,4,-0.10139860139860139,6.5,1.1677484162422844,9,0.2097902097902098,0.0,0.0,0,0.0,12,0
20613,158.66666666666666,38.26304491360569,243,9.146853146853147,1021.4166666666666,415.80206355982176,1675,114.6048951048951,0.08333333333333333,0.2886751345948129,1,-0.01748251748251748,12,0
20615,0.75,1.1381803659589922,4,-0.15734265734265734,10.583333333333334,2.906367096044425,15,0.7307692307692307,0.0,0.0,0,0.0,12,0
20616,78.33333333333333,12.12310591266516,100,2.8391608391608387,253.91666666666666,111.07283305302086,448,30.276223776223773,0.0,0.0,0,0.0,12,0
20617,1.3333333333333333,1.4354811251305468,5,0.18881118881118883,40.083333333333336,10.799480907839406,54,2.954545454545454,0.0,0.0,0,0.0,12,0
20618,4.833333333333333,3.688639397672346,11,0.7132867132867133,15.166666666666666,3.3799766898963113,20,0.5244755244755245,0.0,0.0,0,0.0,12,0
20619,43.833333333333336,11.035754563593681,71,1.8531468531468531,628.0833333333334,163.92817625319012,847,45.27622377622377,0.16666666666666666,0.38924947208076144,1,0.027972027972027972,12,0
20620,3.9166666666666665,1.6764862244009227,7,-0.13636363636363638,46.5,5.000000000000002,55,1.062937062937063,0.0,0.0,0,0.0,12,0
20621,4.75,2.378884383296277,9,0.493006993006993,18.5,6.7082039324993685,32,1.3846153846153846,0.0,0.0,0,0.0,12,0
20622,12.833333333333334,4.725815626252609,22,0.6643356643356643,103.66666666666667,30.73740195247281,143,8.34965034965035,0.25,0.4522670168666455,1,-0.01048951048951049,12,0
20623,21.0,5.291502622129181,29,0.7622377622377622,104.08333333333333,39.87128913102381,170,10.98951048951049,0.0,0.0,0,0.0,12,0
20624,2.3333333333333335,2.570225788926064,8,0.45454545454545453,13.75,5.706853933489258,18,1.409090909090909,0.0,0.0,0,0.0,12,0
20625,3.0833333333333335,1.2401124093721454,4,0.11538461538461539,12.833333333333334,5.982297116315671,21,1.5944055944055946,0.0,0.0,0,0.0,12,0
20626,1.6666666666666667,1.3026778945578592,4,0.2937062937062937,3.25,0.621581560508061,5,0.10139860139860139,0.0,0.0,0,0.0,12,0
20628,0.5,0.674199862463242,2,0.16083916083916083,35.666666666666664,4.638442789897432,42,1.097902097902098,0.0,0.0,0,0.0,12,0
20629,0.3333333333333333,0.49236596391733095,1,-0.11188811188811189,5.916666666666667,0.6685579234215215,7,0.03146853146853147,0.0,0.0,0,0.0,12,0
20630,0.6666666666666666,0.6513389472789296,2,-0.027972027972027972,30.5,9.51075945729601,43,2.4615384615384617,0.0,0.0,0,0.0,12,0
20632,0.3333333333333333,0.4923659639173309,1,-0.03496503496503496,11.083333333333334,2.6097137890209456,15,0.3741258741258741,0.0,0.0,0,0.0,12,0
20634,34.333333333333336,6.54124443725189,47,1.1888111888111887,216.41666666666666,52.917531608297345,294,14.465034965034965,0.08333333333333333,0.28867513459481287,1,0.038461538461538464,12,0
20635,0.08333333333333333,0.2886751345948129,1,-0.03846153846153846,0.0,0.0,0,0.0,0.08333333333333333,0.2886751345948129,1,-0.010489510489510488,12,0
20636,17.25,5.136765873228372,25,0.7237762237762239,446.5,109.3131448471026,594,30.09090909090909,0.0,0.0,0,0.0,12,0
20637,28.75,5.310795181001189,40,1.0804195804195804,288.75,75.70171728567325,405,20.842657342657343,0.0,0.0,0,0.0,12,0
20639,42.416666666666664,11.681051737620617,63,2.527972027972028,675.6666666666666,174.91002015755174,952,48.26573426573427,0.16666666666666666,0.38924947208076144,1,0.048951048951048945,12,0
20640,86.16666666666667,12.633529222116069,109,2.755244755244755,291.25,83.56393850329111,416,23.08741258741259,0.9166666666666666,1.378954368902449,4,-0.10139860139860139,12,0
20644,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12,0
20645,4.5,3.0301515113634467,10,-0.16783216783216784,49.75,10.729102309309775,66,2.9335664335664333,0.0,0.0,0,0.0,12,0
20646,99.33333333333333,30.368444547629114,166,7.538461538461538,860.0,289.5535748825642,1270,79.95104895104896,1.0,1.4770978917519928,4,-0.1258741258741259,12,0
