zip_code,foreclosure_notices_mean,foreclosure_notices_std,foreclosure_notices_max,foreclosure_notices_trend,ev_registrations_mean,ev_registrations_std,ev_registrations_max,ev_registrations_trend,sewer_overflow_incidents_mean,sewer_overflow_incidents_std,sewer_overflow_incidents_max,sewer_overflow_incidents_trend,n_quarters,cluster
20735,307.5,53.04115040573343,399,12.734265734265735,1274.9166666666667,432.7507068075387,1933,119.47902097902097,0.4166666666666667,0.7929614610987591,2,0.0034965034965034982,12,-1
20744,353.5833333333333,38.74029692788382,407,9.325174825174825,2062.3333333333335,590.3897531343687,2915,163.5174825174825,1.3333333333333333,1.3706888336846839,4,-0.09090909090909093,12,-1
20772,485.4166666666667,107.78215262390349,635,28.26923076923077,3085.6666666666665,934.274179469947,4391,258.35664335664336,0.8333333333333334,1.1146408580454255,3,-0.03496503496503496,12,-1
20774,408.6666666666667,59.06904024234281,512,14.524475524475523,2509.25,751.7172008142425,3706,208.19230769230768,0.6666666666666666,0.7784989441615229,2,-0.1258741258741259,12,-1
20817,15.333333333333334,4.271115105265163,21,0.048951048951048945,7738.333333333333,1770.7692901075166,10388,490.9160839160839,0.5833333333333334,0.6685579234215215,2,0.010489510489510488,12,-1
20850,35.75,6.82408835070164,45,1.4790209790209792,10074.916666666666,3306.5124845683044,14699,910.9965034965035,1.0833333333333333,1.8319554050414562,6,0.0034965034965034913,12,-1
20854,38.083333333333336,9.385272150200723,57,1.1153846153846154,10109.833333333334,2039.2027333933202,13023,564.8531468531469,1.1666666666666667,1.6422453217986943,4,-0.013986013986013979,12,-1
20878,73.5,15.335638825357687,105,3.4755244755244754,8057.916666666667,1925.0521342802563,10769,532.9055944055945,0.5,0.5222329678670935,1,-0.013986013986013986,12,-1
21060,184.41666666666666,26.73254173996158,223,5.325174825174825,1566.1666666666667,441.5750390947332,2172,121.77622377622377,1.9166666666666667,2.937479851639476,10,-0.19930069930069932,12,-1
21076,67.41666666666667,15.114462269527477,94,3.339160839160839,6247.5,1800.487585476374,7740,380.8041958041958,0.3333333333333333,0.6513389472789296,2,0.09090909090909091,12,-1
21117,199.83333333333334,33.37890823786056,266,7.993006993006993,3532.0,1256.7973728344743,5998,336.8531468531469,1.25,1.5447859516333116,4,0.1853146853146853,12,-1
21206,374.25,47.51483022077519,453,10.472027972027972,643.4166666666666,246.18376666566982,1029,67.5,5.083333333333333,2.7122058561364044,10,-0.01748251748251748,12,-1
21207,309.6666666666667,50.30151512869591,384,10.86013986013986,841.1666666666666,327.34825306984425,1318,89.97202797202796,3.5833333333333335,3.058767824804721,8,-0.15734265734265734,12,-1
21209,31.833333333333332,9.369518599580172,43,1.881118881118881,1751.9166666666667,458.9601801569467,2449,127.1923076923077,3.0,3.4377582547616425,12,0.4405594405594406,12,-1
21213,227.91666666666666,45.70947451684454,286,11.590909090909092,397.25,209.42524159752523,693,57.17832167832168,1.6666666666666667,1.9227505550564008,6,0.34965034965034963,12,-1
21214,170.0,26.890349739096166,214,6.111888111888112,506.8333333333333,181.76249904918794,799,49.832167832167826,0.9166666666666666,1.7298624923456323,6,0.24825174825174823,12,-1
21215,300.0833333333333,33.96109628098099,371,8.409090909090908,745.3333333333334,316.5577165048861,1266,85.98601398601397,5.166666666666667,4.529365464957704,16,0.888111888111888,12,-1
21216,195.08333333333334,42.31582195679043,278,10.101398601398602,254.25,136.17777485197928,470,36.26923076923077,5.166666666666667,3.128558579902059,10,0.5874125874125874,12,-1
21217,113.0,19.521549863955705,145,3.7132867132867133,547.9166666666666,177.59272012789327,806,48.94055944055944,4.083333333333333,3.553700589355817,11,0.7097902097902097,12,-1
21218,176.33333333333334,36.54221303278352,232,8.916083916083917,1171.25,342.4906435351058,1693,94.43006993006992,3.1666666666666665,1.8989630344113089,7,0.36363636363636365,12,-1
21222,290.5,53.40667305939143,404,12.552447552447552,737.75,263.24137730849367,1096,72.5909090909091,1.5833333333333333,1.3113721705515065,5,0.14335664335664336,12,-1
21223,95.66666666666667,24.33603139878037,144,5.104895104895105,190.25,86.26821283331738,328,23.716783216783217,3.0,2.860387767736777,9,0.5944055944055944,12,-1
21224,151.91666666666666,29.898185817061133,193,5.891608391608392,1856.9166666666667,447.54755122339856,2561,123.54895104895104,5.333333333333333,4.141438777950865,12,0.2797202797202797,12,-1
21226,31.333333333333332,8.804268937007292,47,0.8251748251748251,165.33333333333334,46.20573229556802,218,12.552447552447552,5.583333333333333,4.14418175569586,15,0.6678321678321678,12,-1
21228,107.08333333333333,17.20707218946132,130,3.0944055944055946,2224.1666666666665,559.0769719869176,2995,154.71328671328675,2.9166666666666665,2.5030284687057627,9,0.13636363636363638,12,-1
21229,300.3333333333333,58.21485804302623,402,14.272727272727272,669.4166666666666,259.5995021473491,1044,71.25524475524476,5.416666666666667,2.778434265858556,11,0.3041958041958041,12,-1
21230,116.5,18.88000385207973,157,3.0069930069930066,2134.5833333333335,480.10178056009096,2778,132.520979020979,3.9166666666666665,2.5030284687057627,8,0.541958041958042,12,-1
21240,0.0,0.0,0,0.0,2416.9166666666665,572.4037764841645,3129,-136.9335664335664,0.25,0.45226701686664544,1,0.05244755244755245,12,-1
21502,120.75,16.825980992608912,158,3.0734265734265738,1138.5833333333333,482.4248332092469,1826,132.5769230769231,20.583333333333332,12.493331554606776,45,0.3111888111888112,12,-1
21532,28.666666666666668,7.302967433402215,41,0.4405594405594406,176.58333333333334,37.019548480457864,243,10.010489510489508,13.666666666666666,8.359353317020872,29,0.013986013986013941,12,-1
21613,62.5,21.043245515323484,99,4.531468531468532,357.8333333333333,117.15865958242912,525,32.40559440559441,3.25,3.4145410978769766,12,-0.2972027972027972,12,-1
21811,54.083333333333336,10.211030874262965,71,1.9545454545454544,743.0833333333334,192.95240031644792,1019,53.37412587412587,2.8333333333333335,2.5166114784235836,8,-0.02797202797202797,12,-1
